tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE
00ef,dyirbal,16.99,60.98,43.46,0.0,21.35,50.05,23.77,0.0,18.86,56.29,35.02,0.0
3ffc,norwegian,85.21,92.75,95.59,75.0,70.55,93.62,95.02,33.33,78.92,93.12,95.34,57.14
4311,luise00o,0.0,52.62,49.74,0.0,42.59,62.15,50.17,25.0,21.29,57.39,49.95,12.5
7961,madak,0.0,28.92,19.14,0.0,6.25,16.16,7.9,0.0,3.33,22.11,13.15,0.0
7ee2,blackfoot,11.79,30.11,25.04,16.67,53.87,70.25,75.44,0.0,28.62,46.17,45.2,10.0
a777,yonggom,13.29,50.98,29.34,0.0,24.97,51.73,48.02,0.0,20.3,51.43,40.55,0.0
b188,chickasaw,42.96,70.99,65.0,33.33,65.2,87.85,73.66,33.33,54.08,79.42,69.33,33.33
c128,wambaya,0.0,39.96,15.21,0.0,18.23,36.78,28.53,0.0,9.94,38.23,22.47,0.0
c89b,euskara,69.61,93.35,90.77,25.0,76.37,83.07,87.78,33.33,72.51,88.94,89.49,28.57
da1a,basque,61.22,90.44,90.31,25.0,81.81,93.38,96.72,50.0,71.51,91.91,93.52,37.5
