tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE
00ef,dyirbal,9.2,49.04,33.51,0.0,11.62,42.1,10.64,0.0,10.24,46.07,23.71,0.0
3ffc,norwegian,85.21,92.75,95.59,75.0,100.0,100.0,100.0,100.0,91.55,95.86,97.48,85.71
4311,luise00o,0.0,56.87,46.56,0.0,0.0,0.0,0.0,0.0,0.0,28.44,23.28,0.0
7961,madak,0.0,54.34,46.8,0.0,8.1,27.04,12.12,0.0,4.32,39.78,28.3,0.0
7ee2,blackfoot,0.0,48.51,30.82,0.0,28.87,45.45,49.38,0.0,11.55,47.28,38.24,0.0
a777,yonggom,5.46,46.57,37.79,0.0,37.97,62.04,54.44,0.0,24.96,55.85,47.78,0.0
b188,chickasaw,33.33,63.67,65.0,33.33,60.73,78.6,67.77,33.33,47.03,71.14,66.38,33.33
c128,wambaya,6.07,59.16,36.43,0.0,27.17,42.95,38.06,0.0,17.58,50.32,37.32,0.0
c89b,euskara,69.61,93.35,90.77,25.0,49.39,51.23,55.56,0.0,60.95,75.3,75.68,14.29
da1a,basque,66.22,91.4,90.92,25.0,66.49,83.96,88.76,25.0,66.36,87.68,89.84,25.0
