tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE
00ef,dyirbal,6.47,52.5,17.12,0.0,28.69,51.92,33.59,0.0,16.0,52.25,24.18,0.0
3ffc,norwegian,100.0,100.0,100.0,100.0,61.1,88.05,86.13,0.0,83.33,94.88,94.06,57.14
4311,luise00o,0.0,68.65,60.15,0.0,0.0,4.38,0.0,0.0,0.0,36.51,30.08,0.0
7961,madak,0.0,52.26,44.39,0.0,28.79,40.33,34.69,25.0,15.36,45.9,39.21,13.33
7ee2,blackfoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a777,yonggom,12.32,42.65,17.38,0.0,35.42,64.1,59.66,0.0,26.18,55.52,42.75,0.0
b188,chickasaw,42.96,61.05,56.36,33.33,57.89,82.43,62.6,33.33,50.42,71.74,59.48,33.33
c128,wambaya,10.15,57.1,24.24,0.0,40.21,53.44,49.78,0.0,26.55,55.11,38.17,0.0
c89b,euskara,60.97,82.33,82.8,0.0,82.72,84.56,88.89,33.33,70.29,83.29,85.41,14.29
da1a,basque,56.03,87.44,74.96,0.0,59.1,84.91,82.26,0.0,57.56,86.17,78.61,0.0
