tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE,Contamination
0030,guaraní,0,42.47,29.38,0,43.53,68.88,70.33,0,24.18,57.14,52.13,0, yes
1224,fula,16.55,37.59,28.92,0,32.38,51.48,53.26,0,23.74,43.9,39.99,0, yes
2561,ndebele,24.78,84.77,74.4,0,60.62,77.23,73.75,25,42.7,81,74.08,12.5, yes
3218,cupeño,0,17.81,0,0,0,40.59,20,0,0,29.2,10,0, no
4920,choctaw,5.77,63.91,53.4,0,0,17.71,12.49,0,2.89,40.81,32.94,0, yes
5335,miwoc,17.68,82.69,79.86,25,36.46,58.81,55.69,0,27.07,70.75,67.78,12.5, no
8407,kiswahili,17.68,77.93,78.33,25,,,,,17.68,77.93,78.33,25, yes 
8530,old,76.99,91.66,86.25,50,80.24,87.99,91.97,33.33,78.38,90.09,88.7,42.86, yes
9082,warlpiri,0,42.86,23.43,0,6.41,21.58,15.98,0,3.2,32.22,19.7,0, no
9969,latvian,0,26.47,18.66,0,,,,,0,26.47,18.66,0, yes
9981,kunuz,0,57.02,36.12,0,21.5,57.36,46.45,0,10.75,57.19,41.29,0, no
46e7,wembawemba,0,50.42,45.91,0,,,,,0,50.42,45.91,0, no
2e58,benabena,0,41.45,36.46,0,24.35,44.69,38.64,0,13.53,43.25,37.67,0, no
0d9d,kurmanji,,,,,28.87,56.84,30,0,28.87,56.84,30,0, no
118e,ilokano,16.67,38.9,50,0,30.47,48.48,41.67,0,23.57,43.69,45.83,0, no 
147f,irish,25.18,56.21,30.27,0,67.24,82.4,68.3,60,44.3,68.11,47.56,27.27, yes
198f,nepali,0,0,0.9,0,,,,,0,0,0.9,0, yes
1ba3,kabardian,0,0,0,0,34.13,59.81,52.09,0,22.08,38.7,33.7,0, no
1cc3,tok,19.07,63.67,38.89,0,10.91,44.74,29.41,0,14.99,54.2,34.15,0, yes
1e8f,chamalal,0,9.25,6.25,0,8.61,31.36,26.95,0,3.69,18.73,15.12,0, no
2ca9,pali,40.14,61,57.4,16.67,13.22,48,26.21,0,33.41,57.75,49.6,12.5, yes
35ab,central,0,74.53,49.08,0,,,,,0,74.53,49.08,0, no
35c2,swahili,47.14,90.66,92.59,66.67,,,,,47.14,90.66,92.59,66.67, yes
376d,polish,75,98.68,97.73,75,,,,,75,98.68,97.73,75, yes
3ab7,welsh,37.75,72,75.23,0,,,,,37.75,72,75.23,0, yes
3def,danish,0,27.63,20.23,0,25,32.96,41.52,0,13.64,30.54,31.84,0, yes
3f61,mayangna,13.63,50.68,23.09,0,14.81,39.94,30.79,0,14.13,46.08,26.39,0, no
3f88,lalana,7.91,47.36,37.04,0,28.3,58.93,35.94,25,21.5,55.07,36.3,16.67, no 
438d,turkish,,,,,82.69,84.26,77.34,45.45,82.69,84.26,77.34,45.45, yes
48b5,nahuatl,0,24.38,0,0,21.11,40.71,41.64,0,14.07,35.27,27.76,0, yes 
4cfc,swahili,0,34.39,34.3,0,16.43,36.93,28.77,0,2.9,34.84,33.33,0, yes
4d49,nhanda,34.59,75.28,57.4,12.5,,,,,34.59,75.28,57.4,12.5, no
4e2d,swahili,85.91,97.09,97.88,66.67,,,,,85.91,97.09,97.88,66.67, yes
50df,teop,48.08,70.85,71.94,0,90.24,93.67,94.44,66.67,66.15,80.63,81.59,28.57, ERROR
55c3,georgian,0,0,0,0,48.94,70.99,72.98,0,24.47,35.5,36.49,0, yes
55fe,waanyi,28.18,59.67,46.9,0,25.94,47.68,43.93,0,26.84,52.48,45.12,0, no
602b,hungarian,32.58,60.46,43.58,0,,,,,32.58,60.46,43.58,0, yes
64ab,bulgarian,66.67,86.64,87.15,33.33,,,,,66.67,86.64,87.15,33.33, yes
662e,beja,14.14,31.08,19.77,0,11.99,37.22,25.43,0,13.07,34.15,22.6,0, no
665c,classical,0,0,0,0,32.85,39.03,31.94,0,19.71,23.42,19.17,0, no
68d4,kimbundu,7.22,39.9,26.9,0,59.07,81.03,78.37,25,33.14,60.47,52.64,12.5, no
69f6,persian,,,,,81.62,89.64,90,50,81.62,89.64,90,50, yes
6a85,swahili,70.71,100,100,100,,,,,70.71,100,100,100, yes
6bc8,zoque,28.87,65.6,52.98,0,75,76.59,80,50,44.25,69.26,61.99,16.67, no
6d7b,yoruba,28.87,31.97,37.68,0,,,,,28.87,31.97,37.68,0, yes
75c6,quechua,35.36,69.49,71.88,50,50,47.75,40,0,38.28,65.15,65.5,40, yes
7d1c,irish,11.79,64.7,72.92,16.67,70.71,100,100,100,41.25,82.35,86.46,58.33, yes
7f4f,ancient,24.64,60.98,76.98,0,,,,,24.64,60.98,76.98,0, yes
87fc,abkhaz,0,0,0,0,42.66,64.71,60.68,0,21.33,32.35,30.34,0, no
8d3f,abui,0,50.59,40.37,0,5.46,44.49,23.44,0,1.36,49.07,36.14,0, no
8fbc,inuktitut,5.77,72.43,70.25,0,52.79,71.95,53.74,16.67,31.42,72.17,61.25,9.09, yes
943f,lamjung,40.67,73.05,66.62,0,58.28,64.17,68.89,60,53.25,66.71,68.24,42.86, no
95d4,muna,7.66,57.43,47.08,0,25.37,56.73,63.15,0,13.56,57.2,52.43,0, no
95d6,nahuatl,24.2,53.84,41.1,0,47.26,64.19,55.14,0,36.78,59.49,48.76,0, yes
9cb2,tadaksahak,0,1.69,1.67,0,7.29,21.64,24.45,0,3.24,10.56,11.79,0, no
a160,papiamento,62.11,80.82,81.1,16.67,75.82,93.63,96.05,33.33,66.68,85.09,86.08,22.22, yes
a8b1,maori,82.41,93.9,84.78,66.67,80.79,85.26,81.31,50,81.6,89.58,83.05,58.33, yes
a8cb,swahili,47.14,87.88,86.91,66.67,,,,,47.14,87.88,86.91,66.67, yes
ad49,turkish,23.57,65.99,72.3,33.33,,,,,23.57,65.99,72.3,33.33, yes
b2fd,nen,83.33,97.53,96.94,66.67,,,,,83.33,97.53,96.94,66.67, no
b4a8,íslenska,22.35,61.08,51.79,0,,,,,22.35,61.08,51.79,0, ERROR
b808,lakhota,49.85,74.51,76.21,0,27.12,56.43,46.76,0,38.49,65.47,61.49,0, yes
ba5a,lopit,8.76,52.42,38.43,0,,,,,8.76,52.42,38.43,0, no
bb64,hmong,38.55,52.15,30.09,0,,,,,38.55,52.15,30.09,0, ERROR
c112,udihe,0,35.81,37.67,0,20.81,37.11,32.03,0,13.01,36.62,34.14,0, no
c35c,hungarian,0,51.36,43.25,0,38.01,60.44,30,0,15.2,54.99,37.95,0, yes
c526,basque,76.93,95.97,94.65,50,100,100,100,100,86.82,97.7,96.94,71.43, yes
c66f,tanna,15.98,48.64,39.48,0,,,,,15.98,48.64,39.48,0, yes
c9ef,malay,66.06,87.63,89.8,40,,,,,66.06,87.63,89.8,40, yes
cc31,esperanto,58.67,84.57,81.28,0,44.65,61.43,50.54,0,51.66,73,65.91,0, yes
d0de,somali,6.67,58.38,47.4,0,,,,,6.67,58.38,47.4,0, yes
d48a,yidiny,0,7.78,10.58,0,21.65,27.33,17.55,0,7.22,14.29,12.9,0, no
d524,georgian,,,,,34.67,51.69,48.29,0,34.67,51.69,48.29,0, yes
d97a,kayapo,33.82,49.13,47.29,0,71.42,84.44,83.08,33.33,49.93,64.26,62.63,14.29, no
db79,haitian,9.28,20.58,10.91,0,50,45.11,41.18,0,12.67,22.62,13.43,0, yes
deb4,proto-algonquian,0,61.46,41.86,0,28.87,26.83,36.36,0,9.62,49.92,40.02,0, no
e08a,jaqaru,0,63.98,69.68,0,38.13,51,43.75,0,12.71,59.65,61.04,0, no
e36b,witsuwit’en,,,,,0,9.62,9.09,0,0,9.62,9.09,0, no
e9c1,copainalá,8.33,45.25,41.27,0,48.16,67.83,61.4,16.67,28.25,56.54,51.33,8.33, no
eae7,bamanan-kan,16.06,31.34,32.06,20,3.16,19.06,10.83,0,12.84,28.27,26.75,15, yes
ed4b,tshiluba,38.22,72.3,75.65,40,66.67,71.69,76.19,66.67,48.89,72.07,75.85,50, no
edaf,amele,39.14,56.21,47.72,12.5,,,,,39.14,56.21,47.72,12.5, no
f003,abma,70.12,87.32,88.11,57.14,49.43,71.78,61.61,0,63.91,82.66,80.16,40, no
f020,bulgarian,6.84,24.19,11.38,0,16.63,36,26.92,0,12.18,30.63,19.86,0, yes
f9b2,nung,18.03,45.36,23.6,0,23.21,55.75,40.05,0,20.62,50.55,31.83,0, no
f9e7,afrihili,0,27.53,21.96,0,0,12.33,10,0,0,22.97,18.37,0, no 
overall,average,23.82,54.18,48.72,14.49,39.58,57.22,51.51,15.74,29.41,55.26,49.71,14.93,
