tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE,Contamination
0030,guaraní,0,0,0,0,0,0,0,0,0,0,0,0, yes
1224,fula,13.14,36.28,21.69,0,12.75,31.2,25.91,0,12.97,33.97,23.61,0, yes
2561,ndebele,37.28,88.35,83.98,0,67.56,85.41,83.33,25,52.42,86.88,83.66,12.5, yes
3218,cupeño,0,17.81,0,0,0,40.59,20,0,0,29.2,10,0, no
4920,choctaw,0,5.82,5,0,0,0,0,0,0,2.91,2.5,0, yes
5335,miwoc,17.68,82.69,79.86,25,29.24,55.32,52.08,0,23.46,69,65.97,12.5, no
8407,kiswahili,17.68,76.58,79.76,25,,,,,17.68,76.58,79.76,25, yes 
8530,old,68.29,88.89,84.82,25,87.75,94.68,96.97,66.67,76.63,91.37,90.03,42.86, yes
9082,warlpiri,0,0,0,0,0,0,0,0,0,0,0,0, no
9969,latvian,0,24.83,18.8,0,,,,,0,24.83,18.8,0, yes
9981,kunuz,13.94,51.7,30.77,0,27.91,63.29,55.85,0,20.93,57.5,43.31,0, no
46e7,wembawemba,17.68,75.2,77.68,25,,,,,17.68,75.2,77.68,25, no
2e58,benabena,0,57.76,65.6,0,69.68,85.83,85.93,20,38.71,73.35,76.89,11.11, no
0d9d,kurmanji,,,,,0,23.08,11.11,0,0,23.08,11.11,0, no
118e,ilokano,0,44.76,34.85,0,33.51,60.93,43.61,0,16.75,52.85,39.23,0, no 
147f,irish,39.57,68.5,42.92,16.67,80.12,90.12,90.54,60,58,78.33,64.56,36.36, yes
198f,nepali,67.13,89.57,90.4,30,,,,,67.13,89.57,90.4,30, yes
1ba3,kabardian,0,12.25,3.03,0,51.26,67.99,60.53,36.36,33.17,48.32,40.23,23.53, no
1cc3,tok,19.07,63.67,38.89,0,10.91,44.74,29.41,0,14.99,54.2,34.15,0, yes
1e8f,chamalal,17.68,39.64,46.88,25,33.33,42.35,33.33,33.33,24.39,40.81,41.07,28.57, no
2ca9,pali,69.88,93.89,77.09,33.33,0,0,0,0,52.41,70.42,57.81,25, yes
35ab,central,0,83.36,79.12,0,,,,,0,83.36,79.12,0, no
35c2,swahili,0,20.34,19.05,0,,,,,0,20.34,19.05,0, yes
376d,polish,75,98.68,97.73,75,,,,,75,98.68,97.73,75, yes
3ab7,welsh,53.03,78.69,83.57,0,,,,,53.03,78.69,83.57,0, yes
3def,danish,42.43,84.67,81.12,60,53.45,70.48,68.46,50,48.44,76.93,74.21,54.55, yes
3f61,mayangna,0,0,0,0,0,0,0,0,0,0,0,0, no
3f88,lalana,21.39,43.07,36.7,0,8.33,22.27,6.08,0,12.68,29.21,16.29,0, no 
438d,turkish,,,,,79.86,83.27,73.47,36.36,79.86,83.27,73.47,36.36, yes
48b5,nahuatl,0,44.9,20,0,43.43,68.23,44.41,0,28.95,60.45,36.28,0, yes 
4cfc,swahili,0,16.3,13.32,0,6.8,22.01,5.56,0,1.2,17.31,11.95,0, yes
4d49,nhanda,35.65,76.4,67.34,12.5,,,,,35.65,76.4,67.34,12.5, no
4e2d,swahili,92.96,98.21,99.24,83.33,,,,,92.96,98.21,99.24,83.33, yes
50df,teop,51.7,80.4,61.26,0,100,100,100,100,72.4,88.8,77.86,42.86, ERROR
55c3,georgian,75,94.8,96.15,50,84.68,90.41,92.59,75,79.84,92.61,94.37,62.5, yes
55fe,waanyi,0,0,0,0,0,0,0,0,0,0,0,0, no
602b,hungarian,26.33,50.94,34.53,0,,,,,26.33,50.94,34.53,0, yes
64ab,bulgarian,66.67,87.68,88.43,33.33,,,,,66.67,87.68,88.43,33.33, yes
662e,beja,8.22,52.52,39.82,0,29.93,61.52,47.98,0,19.08,57.02,43.9,0, no
665c,classical,0,18.86,22.22,0,0,0,0,0,0,7.54,8.89,0, no
68d4,kimbundu,9.84,55.12,21.63,0,59.92,82.59,79.64,50,34.88,68.85,50.63,25, no
69f6,persian,,,,,31.62,52.54,61.67,0,31.62,52.54,61.67,0, yes
6a85,swahili,44.19,84.39,86.98,62.5,,,,,44.19,84.39,86.98,62.5, yes
6bc8,zoque,28.87,71.96,72.92,0,0,0,0,0,19.25,47.97,48.61,0, no
6d7b,yoruba,37.67,65.51,45.67,0,,,,,37.67,65.51,45.67,0, yes
75c6,quechua,35.36,72.47,65,50,50,47.75,40,0,38.28,67.53,60,40, yes
7d1c,irish,35.36,78.39,89.63,50,58.93,84.54,85.71,83.33,47.14,81.47,87.67,66.67, yes
7f4f,ancient,20.41,58.18,74.21,0,,,,,20.41,58.18,74.21,0, yes
87fc,abkhaz,16.67,28.44,31.25,0,0,0,0,0,8.33,14.22,15.62,0, no
8d3f,abui,0,54.05,53.83,0,25,48.66,43.75,0,6.25,52.7,51.31,0, no
8fbc,inuktitut,0,67.69,62.36,0,63.7,78.38,70.43,16.67,34.74,73.52,66.77,9.09, yes
943f,lamjung,85.36,95.16,90.32,50,53.48,71.73,69.74,40,62.59,78.42,75.62,42.86, no
95d4,muna,3.71,53.84,40.85,0,30.47,62.83,66.73,0,12.63,56.84,49.48,0, no
95d6,nahuatl,6.32,33.81,18.01,0,11.88,30.54,16.71,0,9.35,32.03,17.3,0, yes
9cb2,tadaksahak,0,0,0,0,0,0,0,0,0,0,0,0, no
a160,papiamento,62.16,89.52,89.24,33.33,59.38,82.97,80.9,0,61.23,87.34,86.46,22.22, yes
a8b1,maori,86.58,95.13,89.94,66.67,80.75,93.48,85.73,66.67,83.67,94.31,87.84,66.67, yes
a8cb,swahili,53.03,92.14,93.61,75,,,,,53.03,92.14,93.61,75, yes
ad49,turkish,47.14,87.54,94.29,66.67,,,,,47.14,87.54,94.29,66.67, yes
b2fd,nen,83.33,98.83,95.83,66.67,,,,,83.33,98.83,95.83,66.67, no
b4a8,íslenska,36.32,68.03,71.86,0,,,,,36.32,68.03,71.86,0, ERROR
b808,lakhota,36,69,66.28,0,47.11,65.36,56.23,0,41.55,67.18,61.25,0, yes
ba5a,lopit,8.76,44.55,37.57,0,,,,,8.76,44.55,37.57,0, no
bb64,hmong,0,0,0,0,,,,,0,0,0,0, ERROR
c112,udihe,26.29,68.67,71.11,0,78.16,76.04,78.57,60,58.71,73.27,75.77,37.5, no
c35c,hungarian,0,50.53,47.62,0,63.01,85.4,70,50,25.2,64.48,56.57,20, yes
c526,basque,76.93,95.97,94.65,50,100,100,100,100,86.82,97.7,96.94,71.43, yes
