tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE,Contamination
0030,guaraní,0,27.55,18.3,0,46.87,67.03,68.91,20,26.04,49.49,46.41,11.11, yes
1224,fula,9.62,32.34,5.56,0,35.91,46.78,52.03,0,21.57,38.91,26.68,0, yes
2561,ndebele,10.34,58.76,55.81,0,48.06,67.6,70.33,0,29.2,63.18,63.07,0, yes
3218,cupeño,0,17.81,0,0,0,40.59,20,0,0,29.2,10,0, no
4920,choctaw,4.08,54.45,47.92,0,0,0,0,0,2.04,27.23,23.96,0, yes
5335,miwoc,0,29.01,19.2,0,0,0,0,0,0,14.51,9.6,0, no
8407,kiswahili,0,24.31,16.52,0,,,,,0,24.31,16.52,0, yes 
8530,old,83.49,94.31,95.8,50,87.75,94.68,96.97,66.67,85.31,94.47,96.3,57.14, yes
9082,warlpiri,0,39.81,17.19,0,6.41,21.58,15.98,0,3.2,30.69,16.58,0, no
9969,latvian,0,10.75,4.32,0,,,,,0,10.75,4.32,0, yes
9981,kunuz,0,0,0,0,0,0,0,0,0,0,0,0, no
46e7,wembawemba,0,64.72,53.97,0,,,,,0,64.72,53.97,0, no
2e58,benabena,0,0,0,0,0,0,0,0,0,0,0,0, no
0d9d,kurmanji,,,,,28.87,56.84,30,0,28.87,56.84,30,0, no
118e,ilokano,0,0,0,0,0,0,0,0,0,0,0,0, no 
147f,irish,9.18,17.11,17.86,0,0,20.04,16.35,0,5.01,18.44,17.17,0, yes
198f,nepali,51.53,79.31,78.49,0,,,,,51.53,79.31,78.49,0, yes
1ba3,kabardian,0,0,0,0,13.26,39.66,36.18,0,8.58,25.66,23.41,0, no
1cc3,tok,19.07,63.67,38.89,0,10.91,44.74,29.41,0,14.99,54.2,34.15,0, yes
1e8f,chamalal,17.68,38.27,33.33,25,10.54,23.74,16.67,0,14.62,32.04,26.19,14.29, no
2ca9,pali,48.47,65.75,62.36,33.33,13.22,48,26.21,0,39.66,61.31,53.32,25, yes
35ab,central,0,65.83,37.94,0,,,,,0,65.83,37.94,0, no
35c2,swahili,0,53.4,56.4,0,,,,,0,53.4,56.4,0, yes
376d,polish,75,98.68,97.73,75,,,,,75,98.68,97.73,75, yes
3ab7,welsh,32.35,66.41,69.45,0,,,,,32.35,66.41,69.45,0, yes
3def,danish,0,0,0,0,16.67,19.42,24.44,0,9.09,10.59,13.33,0, yes
3f61,mayangna,0,0,0,0,19.7,37.82,31.33,0,8.44,16.21,13.43,0, no
3f88,lalana,0,29.58,13.46,0,7.18,26.06,9.58,0,4.79,27.23,10.88,0, no 
438d,turkish,,,,,0,0,0,0,0,0,0,0, yes
48b5,nahuatl,14.82,59.38,44,0,50.85,66.27,49.65,0,38.84,63.97,47.77,0, yes 
4cfc,swahili,0,5.35,4.05,0,0,0,0,0,0,4.41,3.33,0, yes
4d49,nhanda,7.22,16.3,8.85,0,,,,,7.22,16.3,8.85,0, no
4e2d,swahili,6.36,21.62,14.14,0,,,,,6.36,21.62,14.14,0, yes
50df,teop,48.81,80.29,67.2,0,97.1,98.82,85.19,66.67,69.5,88.23,74.91,28.57, ERROR
55c3,georgian,0,0,0,0,0,0,0,0,0,0,0,0, yes
55fe,waanyi,0,31.77,6.25,0,7.68,29.7,25.81,0,4.61,30.53,17.99,0, no
602b,hungarian,23.87,43.55,32.95,0,,,,,23.87,43.55,32.95,0, yes
64ab,bulgarian,50,72.72,80.75,16.67,,,,,50,72.72,80.75,16.67, yes
662e,beja,0,0,0,0,13.15,45.67,33.78,0,6.57,22.83,16.89,0, no
665c,classical,0,33.03,50,0,62.2,80.46,81.09,33.33,37.32,61.49,68.66,20, no
68d4,kimbundu,0,0,0,0,0,0,0,0,0,0,0,0, no
69f6,persian,,,,,34.95,49.62,52.31,0,34.95,49.62,52.31,0, yes
6a85,swahili,17.68,54.38,53.87,25,,,,,17.68,54.38,53.87,25, yes
6bc8,zoque,28.87,76.35,57.22,0,45.68,50.38,49.23,0,34.47,67.69,54.56,0, no
6d7b,yoruba,7.22,11.83,10,0,,,,,7.22,11.83,10,0, yes
75c6,quechua,0,0,0,0,0,0,0,0,0,0,0,0, yes
7d1c,irish,0,39.23,56.65,0,70.71,100,100,100,35.36,69.62,78.33,50, yes
7f4f,ancient,24.64,61.35,75.33,0,,,,,24.64,61.35,75.33,0, yes
87fc,abkhaz,0,0,0,0,0,0,0,0,0,0,0,0, no
8d3f,abui,0,49.47,30.58,0,9.2,18.07,0,0,2.3,41.62,22.93,0, no
8fbc,inuktitut,0,0,0,0,0,0,0,0,0,0,0,0, yes
943f,lamjung,0,0,0,0,2.58,11.06,4.51,0,1.84,7.9,3.22,0, no
95d4,muna,0,0,0,0,0,0,0,0,0,0,0,0, no
95d6,nahuatl,0,0,0,0,58.98,70.98,66.78,16.67,32.17,38.72,36.42,9.09, yes
9cb2,tadaksahak,0,8.98,0,0,43.1,55.09,52,0,19.16,29.47,23.11,0, no
a160,papiamento,30.18,49.26,20.71,0,28.86,53,52.37,0,29.74,50.51,31.26,0, yes
a8b1,maori,81.05,85.33,76.41,50,74.77,87.39,77.5,50,77.91,86.36,76.95,50, yes
a8cb,swahili,11.79,66.74,73.02,16.67,,,,,11.79,66.74,73.02,16.67, yes
ad49,turkish,11.79,50.7,52.62,16.67,,,,,11.79,50.7,52.62,16.67, yes
b2fd,nen,66.67,84.27,86.58,33.33,,,,,66.67,84.27,86.58,33.33, no
b4a8,íslenska,68.26,77.99,72.73,33.33,,,,,68.26,77.99,72.73,33.33, ERROR
b808,lakhota,32.6,59.36,44.78,0,0,0,0,0,16.3,29.68,22.39,0, yes
ba5a,lopit,11.26,39.95,25.43,0,,,,,11.26,39.95,25.43,0, no
bb64,hmong,24.99,40.87,31.16,0,,,,,24.99,40.87,31.16,0, ERROR
c112,udihe,0,35.81,37.67,0,18.16,24.01,28.68,0,11.35,28.44,32.05,0, no
c35c,hungarian,0,4.44,0,0,0,27.2,21.54,0,0,13.55,8.62,0, yes
c526,basque,11.17,42.27,32.63,0,20.1,38.12,28.19,0,15,40.49,30.73,0, yes
c66f,tanna,10,45.13,27.92,0,,,,,10,45.13,27.92,0, yes
c9ef,malay,54.39,77.97,79.44,0,,,,,54.39,77.97,79.44,0, yes
cc31,esperanto,71.82,90.55,96.19,33.33,45.03,64.94,56.85,0,58.43,77.75,76.52,16.67, yes
d0de,somali,0,48.92,51.92,0,,,,,0,48.92,51.92,0, yes
d48a,yidiny,0,15.92,19.44,0,21.65,27.33,17.55,0,7.22,19.72,18.81,0, no
d524,georgian,,,,,23.04,31.26,41.27,0,23.04,31.26,41.27,0, yes
d97a,kayapo,22.94,30.74,33.3,0,44.57,69.52,60.26,0,32.21,47.36,44.85,0, no
db79,haitian,9.28,20.58,10.91,0,50,45.11,41.18,0,12.67,22.62,13.43,0, yes
deb4,proto-algonquian,0,67.16,60.68,0,28.87,26.83,36.36,0,9.62,53.72,52.58,0, no
e08a,jaqaru,0,59.97,70.2,0,0,0,0,0,0,39.98,46.8,0, no
e36b,witsuwit’en,,,,,0,10.73,4.84,0,0,10.73,4.84,0, no
e9c1,copainalá,0,0,0,0,30.64,44.45,33.1,16.67,15.32,22.23,16.55,8.33, no
eae7,bamanan-kan,10.65,21.54,21.65,13.33,2.18,12.39,8.64,0,8.53,19.25,18.4,10, yes
ed4b,tshiluba,4.08,36.98,37.26,0,0,0,0,0,2.55,23.11,23.29,0, no
edaf,amele,28.2,49.91,39.68,0,,,,,28.2,49.91,39.68,0, no
f003,abma,18.41,22.76,22.14,14.29,0,0,0,0,12.89,15.93,15.5,10, no
f020,bulgarian,71.57,90.86,81.58,60,100,100,100,100,87.08,95.85,91.63,81.82, yes
f9b2,nung,0,0,0,0,9.07,26.42,16.35,0,4.54,13.21,8.17,0, no
f9e7,afrihili,0,29.39,30.26,0,0,12.33,10,0,0,24.27,24.18,0, no 
overall,average,14.9,37.43,33.32,6.31,22.18,33.19,30.03,9.79,17.48,35.93,32.16,7.54,
