Parameter_ID,Basque,Blackfoot,Chickasaw,Dyirbal,English,"Kati (in West Papua, Indonesia)",Luiseño,Norwegian,Wambaya
100A,3.0,,,,2.0,,,,6.0
101A,2.0,3.0,,,1.0,,,1.0,4.0
102A,5.0,,,,2.0,,,,5.0
103A,2.0,,,,2.0,,,,2.0
104A,3.0,,,,1.0,,,,2.0
105A,1.0,3.0,,4.0,4.0,,,,2.0
106A,2.0,,,,2.0,,4.0,,4.0
107A,1.0,,,,1.0,,,,2.0
108A,2.0,,,2.0,3.0,,,,3.0
108B,2.0,,,1.0,4.0,,,,4.0
109A,8.0,,,5.0,8.0,,,,7.0
109B,5.0,,,1.0,5.0,,,,2.0
10A,2.0,,,,2.0,,,,2.0
110A,2.0,,,,1.0,,,,2.0
111A,2.0,2.0,,,2.0,,,,2.0
112A,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0
113A,2.0,,,,3.0,,,,3.0
114A,3.0,,,,3.0,,,,2.0
115A,1.0,,,,3.0,,,,
116A,1.0,2.0,,1.0,4.0,,1.0,4.0,
117A,5.0,,,4.0,5.0,,3.0,,
118A,2.0,1.0,,2.0,2.0,,,,
119A,1.0,1.0,,1.0,2.0,,,,
11A,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0
120A,1.0,1.0,,2.0,1.0,,,,
121A,4.0,,,,4.0,,,,
122A,4.0,,,,1.0,,,,
123A,5.0,,,,1.0,,,,
124A,,2.0,,,1.0,,,,1.0
125A,3.0,,,,2.0,,,,3.0
126A,2.0,,,,2.0,,,,1.0
127A,2.0,,,,2.0,,,,1.0
128A,1.0,,,,1.0,,,,
129A,2.0,1.0,1.0,,2.0,,1.0,2.0,2.0
12A,3.0,,2.0,2.0,3.0,,,3.0,2.0
130A,2.0,2.0,2.0,,2.0,,2.0,2.0,1.0
130B,,,,,,,,,1.0
131A,2.0,,,,1.0,,,,
132A,,,,,7.0,,,,
133A,,,,,7.0,,,,
134A,,,,,1.0,,,,
135A,,,,,1.0,,,,
136A,1.0,,,1.0,1.0,,1.0,,
136B,1.0,,,1.0,2.0,,1.0,,
137A,1.0,,,1.0,1.0,,2.0,,
137B,1.0,,,1.0,1.0,,2.0,,
138A,1.0,,,,2.0,,,2.0,3.0
13A,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0
142A,,,3.0,,2.0,,,,
143A,1.0,3.0,,1.0,1.0,2.0,1.0,6.0,1.0
143E,1.0,2.0,,1.0,1.0,4.0,1.0,1.0,1.0
143F,4.0,4.0,,4.0,4.0,1.0,4.0,1.0,4.0
143G,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0
144A,7.0,,,21.0,2.0,8.0,21.0,16.0,21.0
144B,3.0,,,3.0,3.0,4.0,1.0,,1.0
144D,,,,,2.0,,,13.0,
144E,,,,,,,,1.0,
144H,,,,,4.0,,,4.0,
144I,,,,,1.0,,,1.0,
144J,,,,,7.0,,,1.0,
144K,,,,,4.0,,,4.0,
144L,3.0,,,22.0,,4.0,,,
144P,4.0,,,,,4.0,,,
144Q,4.0,,,,,4.0,,,
144R,1.0,,,,,8.0,,,
144S,11.0,,,,,1.0,,,
14A,,,,2.0,1.0,,1.0,1.0,1.0
15A,,,,8.0,4.0,,1.0,4.0,1.0
16A,,,,1.0,4.0,,2.0,4.0,2.0
17A,,,,1.0,1.0,,,4.0,1.0
18A,1.0,,1.0,3.0,1.0,,1.0,1.0,3.0
19A,1.0,,1.0,1.0,5.0,,1.0,1.0,1.0
1A,3.0,,2.0,1.0,3.0,,3.0,3.0,2.0
20A,1.0,,,,1.0,,,,
21A,1.0,,,,5.0,,,,
21B,1.0,,,,1.0,,,,
22A,3.0,,,,2.0,,,,
23A,3.0,,,2.0,2.0,,,,
24A,2.0,,,2.0,2.0,,,,
25A,5.0,,,2.0,2.0,,,,
25B,2.0,,,2.0,2.0,,,,
26A,4.0,5.0,,2.0,2.0,,2.0,2.0,2.0
27A,1.0,,1.0,1.0,3.0,,1.0,,
28A,2.0,,,,2.0,,,,2.0
29A,3.0,,,,2.0,,,,3.0
2A,2.0,,1.0,1.0,3.0,,2.0,3.0,1.0
30A,1.0,,,4.0,3.0,,,,4.0
31A,1.0,,,2.0,2.0,,,,2.0
32A,1.0,,,2.0,2.0,,,,2.0
33A,8.0,2.0,,,2.0,,2.0,2.0,
34A,6.0,6.0,,5.0,6.0,,,,4.0
35A,4.0,,,,4.0,,,,5.0
36A,3.0,,,2.0,4.0,,,3.0,
37A,1.0,3.0,,,1.0,,,3.0,
38A,2.0,3.0,,,1.0,,,2.0,
39A,3.0,,,,3.0,,,,5.0
39B,,,,1.0,,,,,
3A,4.0,,4.0,3.0,1.0,,3.0,2.0,4.0
40A,3.0,,,,2.0,,,,1.0
41A,3.0,,,2.0,2.0,,,,2.0
42A,1.0,,,1.0,1.0,,,,1.0
43A,2.0,,,,2.0,,,,2.0
44A,6.0,,,,3.0,,,,6.0
45A,2.0,,,1.0,1.0,,,2.0,1.0
46A,1.0,,,1.0,2.0,,,,1.0
47A,2.0,,,,1.0,,,1.0,2.0
48A,2.0,,,,2.0,,,,1.0
49A,8.0,,,6.0,2.0,,,,7.0
4A,2.0,,2.0,1.0,4.0,,1.0,2.0,1.0
50A,6.0,,,5.0,3.0,,,,5.0
51A,6.0,,,1.0,9.0,,1.0,1.0,1.0
52A,2.0,2.0,,,1.0,,2.0,1.0,
53A,6.0,6.0,,,7.0,,,7.0,
54A,4.0,,,,1.0,,,,
55A,1.0,,,1.0,1.0,,1.0,,
56A,1.0,,,,2.0,,,,
57A,4.0,1.0,,,4.0,,1.0,4.0,
58A,2.0,,,2.0,2.0,,,,
58B,1.0,,,1.0,1.0,,,,
59A,1.0,,,2.0,1.0,,,,
5A,2.0,,1.0,1.0,2.0,,1.0,2.0,1.0
60A,6.0,,,,6.0,,,,
61A,2.0,,,2.0,6.0,,,,
62A,1.0,,,,6.0,,,,8.0
63A,1.0,1.0,,1.0,1.0,,,,
64A,1.0,,,,1.0,,,,
65A,1.0,,,,2.0,,,,
66A,1.0,,,,1.0,,,,
67A,1.0,,,,2.0,,,,
68A,3.0,,,,1.0,,,,
69A,4.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0
6A,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0
70A,1.0,,,1.0,5.0,,,4.0,5.0
71A,1.0,,,4.0,1.0,,,1.0,
72A,4.0,,,,4.0,,,4.0,
73A,2.0,,,,2.0,,,2.0,2.0
74A,1.0,,,,2.0,,,,3.0
75A,2.0,,,,1.0,,,,2.0
76A,1.0,,,,1.0,,,,3.0
77A,2.0,1.0,,1.0,1.0,,,,1.0
78A,4.0,1.0,,1.0,1.0,,,,1.0
79A,1.0,,,,1.0,,,,
79B,5.0,,,,5.0,,,,
7A,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0
80A,1.0,,,,1.0,,,,
81A,1.0,7.0,,7.0,2.0,1.0,7.0,2.0,7.0
82A,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,3.0
83A,1.0,2.0,,1.0,2.0,1.0,3.0,2.0,2.0
84A,3.0,,,6.0,1.0,,6.0,,
85A,1.0,5.0,,5.0,2.0,1.0,1.0,2.0,
86A,1.0,1.0,,1.0,3.0,1.0,1.0,3.0,
87A,2.0,1.0,,2.0,1.0,,2.0,1.0,
88A,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0
89A,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,
8A,2.0,,4.0,2.0,2.0,,2.0,2.0,2.0
90A,2.0,7.0,,1.0,1.0,,1.0,1.0,
90B,1.0,2.0,,,,,,,
90C,,2.0,,1.0,1.0,,1.0,1.0,
91A,1.0,,,,1.0,,,1.0,
92A,4.0,6.0,,3.0,6.0,,3.0,6.0,
93A,2.0,1.0,,2.0,1.0,,1.0,1.0,
94A,2.0,,,,1.0,2.0,,1.0,
95A,1.0,,,,4.0,1.0,5.0,4.0,
96A,1.0,5.0,,2.0,4.0,,5.0,4.0,
97A,2.0,3.0,,2.0,3.0,,5.0,3.0,
98A,6.0,,,,1.0,,,,4.0
99A,6.0,,,,2.0,,,,2.0
9A,3.0,3.0,,,2.0,,1.0,,1.0
