tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE
0001,lang01,74.89,75.08,73.09,95.89,66.54,78.62,81.06,60.99,76.66,54.67,57.14,80.68
0002,lang02,85.89,65.19,57.37,70.24,88.18,63.21,66.6,84.86,68.03,62.36,84.9,58.37
0003,lang03,71.06,86.31,58.22,92.59,78.59,84.63,57.28,72.82,88.27,98.01,76.8,71.97
0004,lang04,64.96,73.52,59.8,58.98,97.56,78.81,52.46,97.93,87.84,73.32,63.75,73.16
0005,lang05,86.95,51.08,89.75,61.14,61.82,54.45,79.66,69.47,54.74,61.18,74.31,78.75
0006,lang06,57.57,51.94,61.14,57.26,90.96,76.85,92.68,53.64,59.91,53.9,53.7,61.68
0007,lang07,61.95,83.9,55.31,79.97,81.1,63.37,73.69,92.98,56.36,96.06,94.67,83.54
0008,lang08,80.28,73.18,82.09,99.24,51.08,71.17,88.02,65.41,71.4,72.87,90.21,83.16
0009,lang09,65.85,56.71,66.41,76.3,70.34,58.74,89.21,78.49,59.46,53.17,71.53,57.72
0010,lang10,92.22,75.09,59.77,82.43,60.13,66.34,55.38,93.96,65.97,71.45,82.71,83.72
