tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE,Contamination
0030,guaraní,0,67.39,66.56,0,47.35,74.33,77.7,0,26.31,71.24,72.75,0, yes
1224,fula,0,8.44,14.7,0,9.13,27.85,24.11,0,4.15,17.27,18.98,0, yes
2561,ndebele,0,18.77,16.92,0,10.56,30,21.74,0,5.28,24.38,19.33,0, yes
3218,cupeño,0,30.42,31.25,0,100,100,100,100,50,65.21,65.62,50, no
4920,choctaw,35.69,86.07,77.01,20,59.12,68.68,69.43,20,47.4,77.38,73.22,20, yes
5335,miwoc,17.68,86.3,81.25,25,62.14,75.84,84.44,25,39.91,81.07,82.84,25, no
8407,kiswahili,53.03,91.91,93.3,75,,,,,53.03,91.91,93.3,75, yes 
8530,old,78.86,92.38,89.42,50,87.75,94.68,96.97,66.67,82.67,93.36,92.66,57.14, yes
9082,warlpiri,0,0,0,0,46.15,62.81,52.47,0,23.07,31.4,26.23,0, no
9969,latvian,0,26.31,18.66,0,,,,,0,26.31,18.66,0, yes
9981,kunuz,13.02,57.3,51.17,0,38.64,71.09,58.04,0,25.83,64.19,54.61,0, no
46e7,wembawemba,8.84,75.82,70.73,12.5,,,,,8.84,75.82,70.73,12.5, no
2e58,benabena,0,66.85,72.92,0,69.1,86.53,82.76,20,38.39,77.79,78.39,11.11, no
0d9d,kurmanji,,,,,28.87,56.84,30,0,28.87,56.84,30,0, no
118e,ilokano,16.67,55.37,64.16,0,42.82,64.76,50.37,0,29.74,60.07,57.26,0, no 
147f,irish,59.49,80.09,80.66,33.33,91.55,94.94,95.56,80,74.06,86.84,87.43,54.55, yes
198f,nepali,73.05,94.88,96.09,40,,,,,73.05,94.88,96.09,40, yes
1ba3,kabardian,0,49.57,56.29,0,67.94,83.8,78.64,54.55,43.96,71.72,70.75,35.29, no
1cc3,tok,19.07,63.67,38.89,0,10.91,44.74,29.41,0,14.99,54.2,34.15,0, yes
1e8f,chamalal,17.68,46.72,44.2,25,19.25,21.65,18.18,0,18.35,35.98,33.05,14.29, no
2ca9,pali,51.92,65.73,69.56,50,13.22,48,26.21,0,42.25,61.3,58.72,37.5, yes
35ab,central,17.68,91.52,92.45,25,,,,,17.68,91.52,92.45,25, no
35c2,swahili,47.14,90.66,92.59,66.67,,,,,47.14,90.66,92.59,66.67, yes
376d,polish,75,98.68,97.73,75,,,,,75,98.68,97.73,75, yes
3ab7,welsh,60.54,83.41,87.73,33.33,,,,,60.54,83.41,87.73,33.33, yes
3def,danish,0,27.63,20.23,0,25,32.96,41.52,0,13.64,30.54,31.84,0, yes
3f61,mayangna,9.36,45.22,15.83,0,21.66,42.76,27.08,0,14.63,44.17,20.65,0, no
3f88,lalana,11.24,37.86,29.68,0,8.82,30.32,16.62,0,9.63,32.84,20.97,0, no 
438d,turkish,,,,,81.63,87.34,80.26,45.45,81.63,87.34,80.26,45.45, yes
48b5,nahuatl,44.72,87.45,77.78,0,66.82,75.76,68.12,0,59.46,79.65,71.34,0, yes 
4cfc,swahili,55.56,59.55,84.56,78.57,16.43,36.93,28.77,0,48.65,55.56,74.71,64.71, yes
4d49,nhanda,44.98,83.95,82.57,12.5,,,,,44.98,83.95,82.57,12.5, no
4e2d,swahili,100,100,100,100,,,,,100,100,100,100, yes
50df,teop,62.16,82.88,78.31,0,86.62,87.85,85.9,66.67,72.64,85.01,81.56,28.57, ERROR
55c3,georgian,0,0,0,0,85.18,93.84,95,50,42.59,46.92,47.5,25, yes
55fe,waanyi,0,0,0,0,42,65.01,58.47,16.67,25.2,39,35.08,10, no
602b,hungarian,32.58,60.44,45.08,0,,,,,32.58,60.44,45.08,0, yes
64ab,bulgarian,83.33,93.54,96.1,66.67,,,,,83.33,93.54,96.1,66.67, yes
662e,beja,0,0,0,0,23.52,56.25,45.25,0,11.76,28.13,22.62,0, no
