tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE,Contamination
0030,guaraní,0,36.85,36.42,0,43.76,61.34,58.51,0,24.31,50.45,48.69,0, yes
1224,fula,16.55,37.49,41.14,0,30.12,39.88,39.9,0,22.72,38.58,40.57,0, yes
2561,ndebele,32.11,88.35,82.42,0,73.54,87.65,89.17,25,52.83,88,85.79,12.5, yes
3218,cupeño,0,17.81,0,0,0,40.59,20,0,0,29.2,10,0, no
4920,choctaw,20,78.3,74.63,0,50.24,71.64,65.75,20,35.12,74.97,70.19,10, yes
5335,miwoc,35.36,91.3,87.36,50,29.24,55.32,52.08,0,32.3,73.31,69.72,25, no
8407,kiswahili,17.68,76.58,79.76,25,,,,,17.68,76.58,79.76,25, yes 
8530,old,51.56,76.4,71.86,0,80.24,87.99,91.97,33.33,63.85,81.37,80.48,14.29, yes
9082,warlpiri,0,40.43,21.74,0,17.36,38.96,34.4,0,8.68,39.69,28.07,0, no
9969,latvian,0,26.05,18.66,0,,,,,0,26.05,18.66,0, yes
9981,kunuz,8.16,52.8,37.35,0,27.91,61.87,54.22,0,18.04,57.33,45.79,0, no
46e7,wembawemba,8.84,57.03,48.46,12.5,,,,,8.84,57.03,48.46,12.5, no
2e58,benabena,0,0,0,0,53.97,78.68,77.84,20,29.98,43.71,43.24,11.11, no
0d9d,kurmanji,,,,,0,0,0,0,0,0,0,0, no
118e,ilokano,16.67,43.68,55.4,0,33.51,60.93,43.61,0,25.09,52.3,49.51,0, no 
147f,irish,47.88,72.06,58.59,16.67,80.12,90.12,90.54,60,62.54,80.27,73.11,36.36, yes
198f,nepali,60.02,87.21,89.25,20,,,,,60.02,87.21,89.25,20, yes
1ba3,kabardian,0,11.71,9.55,0,16.78,35.69,29.12,0,10.86,27.23,22.21,0, no
1cc3,tok,19.07,63.67,38.89,0,10.91,44.74,29.41,0,14.99,54.2,34.15,0, yes
1e8f,chamalal,17.68,37.52,41.67,25,33.33,44.82,39.29,33.33,24.39,40.65,40.65,28.57, no
2ca9,pali,41.43,64.24,64.57,16.67,13.22,48,26.21,0,34.37,60.18,54.98,12.5, yes
35ab,central,0,87.23,81.34,0,,,,,0,87.23,81.34,0, no
35c2,swahili,0,62.71,70.37,0,,,,,0,62.71,70.37,0, yes
