tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE,Contamination
0030,guaraní,0,19.64,20.57,0,10.84,26.65,29.14,0,6.02,23.53,25.33,0, yes
1224,fula,0,0,0,0,4.08,12.76,10.65,0,1.86,5.8,4.84,0, yes
2561,ndebele,0,0,0,0,52.83,75.25,82.33,0,26.41,37.63,41.16,0, yes
3218,cupeño,0,17.81,0,0,0,40.59,20,0,0,29.2,10,0, no
4920,choctaw,0,58.22,49.9,0,0,0,0,0,0,29.11,24.95,0, yes
5335,miwoc,0,61.41,53.08,0,0,0,0,0,0,30.71,26.54,0, no
8407,kiswahili,0,20.22,16.94,0,,,,,0,20.22,16.94,0, yes 
8530,old,0,0,0,0,0,0,0,0,0,0,0,0, yes
9082,warlpiri,5.77,20.13,16.19,0,6.41,21.58,15.98,0,6.09,20.85,16.09,0, no
9969,latvian,0,26.06,22.6,0,,,,,0,26.06,22.6,0, yes
9981,kunuz,0,0,0,0,0,0,0,0,0,0,0,0, no
46e7,wembawemba,0,68.42,49.76,0,,,,,0,68.42,49.76,0, no
2e58,benabena,0,43.93,46.56,0,21.1,42.5,28.24,0,11.72,43.14,36.38,0, no
0d9d,kurmanji,,,,,70.71,93.7,75,0,70.71,93.7,75,0, no
118e,ilokano,0,0,0,0,19.37,33.24,31.69,0,9.69,16.62,15.85,0, no 
147f,irish,2.47,8.1,0,0,74.71,85.9,81.83,60,35.31,43.46,37.19,27.27, yes
198f,nepali,51.53,81.06,81.05,0,,,,,51.53,81.06,81.05,0, yes
1ba3,kabardian,0,27.8,18.39,0,25.34,52.76,42.5,0,16.4,43.96,33.99,0, no
1cc3,tok,14.43,57.13,50,0,10.91,44.74,29.41,0,12.67,50.94,39.71,0, yes
1e8f,chamalal,0,4.63,8.33,0,8.61,31.36,26.95,0,3.69,16.09,16.31,0, no
2ca9,pali,69.88,93.89,77.09,33.33,0,0,0,0,52.41,70.42,57.81,25, yes
35ab,central,0,65.83,37.94,0,,,,,0,65.83,37.94,0, no
35c2,swahili,0,47.92,54.55,0,,,,,0,47.92,54.55,0, yes
376d,polish,64.43,82.79,86.36,50,,,,,64.43,82.79,86.36,50, yes
3ab7,welsh,63.15,81.99,79.21,33.33,,,,,63.15,81.99,79.21,33.33, yes
3def,danish,70.71,100,100,100,81.9,93.31,95,83.33,76.82,96.35,97.27,90.91, yes
3f61,mayangna,0,0,0,0,0,0,0,0,0,0,0,0, no
3f88,lalana,0,0,0,0,0,0,0,0,0,0,0,0, no 
438d,turkish,,,,,77.23,84.4,77.98,36.36,77.23,84.4,77.98,36.36, yes
48b5,nahuatl,0,24.38,0,0,18.85,37.79,33.36,0,12.57,33.32,22.24,0, yes 
4cfc,swahili,0,2.86,2.03,0,0,0,0,0,0,2.36,1.67,0, yes
4d49,nhanda,34.15,79.74,77.81,12.5,,,,,34.15,79.74,77.81,12.5, no
4e2d,swahili,88.6,96.49,98.28,83.33,,,,,88.6,96.49,98.28,83.33, yes
50df,teop,43.32,66.33,59.07,0,100,100,100,100,67.61,80.76,76.61,42.86, ERROR
55c3,georgian,0,0,0,0,0,0,0,0,0,0,0,0, yes
55fe,waanyi,0,5.32,3.89,0,5.46,31.76,25.79,0,3.27,21.18,17.03,0, no
602b,hungarian,26.44,53.59,48.3,0,,,,,26.44,53.59,48.3,0, yes
64ab,bulgarian,0,0,5.57,0,,,,,0,0,5.57,0, yes
