Language	Type	Contamination
budukh	morphology	no
dutch	morphology	yes
dutch_2	morphology	yes
estonian	morphology	yes
finnish	morphology	yes
indonesian	morphology	yes
lunyole	morphology	no
mandar	morphology	no
mongo	morphology	no
movima	morphology	no
quechua	morphology	no
somali	morphology	no
tarangan	morphology	no
terena	morphology	no
zoque	morphology	no
english_german	multiling	yes
italian_ladin	multiling	no
minangkabau	multiling	no
hawaiian	multiling	yes
sursilvan_engadine	multiling	no
turkish_tatar	multiling	no
aleut	stress	no
chickasaw	stress	no
creek	stress	no
kabardian	stress	no
sanskrit	stress	no
faroese	transliteration	no
french	transliteration	yes
koryak	transliteration	no
micmac	transliteration	no
sanskrit	transliteration	yes
sanskrit_2	transliteration	yes
